day,date,avg_census,covid_census,covid_admits,covid_discharges,covid_deaths
0,2/20/2020,2562,1,1,0,0
1,2/21/2020,2570,0,0,0,0
2,2/22/2020,2505,0,0,0,0
3,2/23/2020,2472,0,0,0,0
4,2/24/2020,2592,2,1,0,0
5,2/25/2020,2709,3,1,0,1
6,2/26/2020,2718,0,0,0,0
7,2/27/2020,2714,4,1,0,0
8,2/28/2020,2684,0,0,0,0
9,2/29/2020,2581,0,0,0,0
10,3/1/2020,2541,0,0,0,0
11,3/2/2020,2689,5,1,0,1
12,3/3/2020,2805,0,0,0,0
13,3/4/2020,2809,0,0,0,0
14,3/5/2020,2854,6,0,0,1
15,3/6/2020,2827,10,4,0,2
16,3/7/2020,2672,0,0,0,0
17,3/8/2020,2615,0,0,0,0
18,3/9/2020,2742,0,0,0,0
19,3/10/2020,2792,0,0,0,0
20,3/11/2020,2790,11,0,0,0
21,3/12/2020,2766,17,6,0,0
22,3/13/2020,2667,26,9,0,4
23,3/14/2020,2463,36,9,0,1
24,3/15/2020,2273,47,11,0,5
25,3/16/2020,2309,74,26,0,6
26,3/17/2020,2229,104,33,2,4
27,3/18/2020,2105,142,46,9,13
28,3/19/2020,1951,203,71,10,14
29,3/20/2020,1871,263,69,10,14
30,3/21/2020,1731,322,83,24,19
31,3/22/2020,1638,393,89,18,17
32,3/23/2020,1656,513,131,18,30
33,3/24/2020,1593,632,161,45,39
34,3/25/2020,1483,725,153,63,28
35,3/26/2020,1383,788,143,74,25
36,3/27/2020,1292,844,126,68,19
37,3/28/2020,1193,890,129,82,26
38,3/29/2020,1129,936,125,84,20
39,3/30/2020,1132,989,168,115,31
40,3/31/2020,1151,1014,145,134,29
41,4/1/2020,1152,1033,138,142,17
42,4/2/2020,1126,1032,158,115,31
43,4/3/2020,1064,1073,164,124,21
44,4/4/2020,1056,1091,97,98,15
45,4/5/2020,1019,1104,119,87,15
46,4/6/2020,1074,1137,135,138,21
47,4/7/2020,1110,1123,115,150,19
48,4/8/2020,1112,1096,124,111,13
49,4/9/2020,1136,1089,95,138,14
50,4/10/2020,1126,1045,91,122,13
51,4/11/2020,1097,1003,70,113,5
52,4/12/2020,1088,961,58,95,4
53,4/13/2020,1177,928,74,124,4
54,4/14/2020,1249,866,54,121,2
